mainCategory,title,content,subCategory,date,source
Music,Bugs Music chart marks 20-year anniversary with celebration page,"Singer IU was the most popular artist over the 20-year history of the Bugs Music chart, according to its operator NHN on Friday. A new service page was also launched on its website and mobile app to celebrate the meaningful year. Bugs Music ...",K-Pop/Pop,2020-11-06,Korea JoongAng Daily
Music,'Hotel Del Luna' set for U.S. remake,"The popular tvN drama series “Hotel Del Luna,” which starred singer-actor Lee Ji-eun, better known as IU, and Yeo Jin-goo, will be remade for an American audience.
CJ ENM subsidiary Studio Dragon formed a partnership with Hollywood company...",K-Pop Ballad,2020-06-24,Korea JoongAng Daily
Music,IU’s collaboration with BTS’s Suga ‘Eight’ tops music charts,"Singer IU’s and Suga’s collaboration “Eight” conquered music charts in and out of Korea after it was released Wednesday evening.
The song, sung by IU and produced by Suga of boy band BTS, was No. 1 on Korean music streaming services",K-Pop Collaboration,2020-05-07,Korea JoongAng Daily
Social,Celebs make large donations to help out local children’s charities,"Singers IU, Changmin and pop duo Davichi were among the celebrities that made donations to ChildFund Korea and Good Neighbors on Children’s Day, the organizations announced Tuesday.",Public Appearances.,2020-05-05,Korea JoongAng Daily
Music,IU and BTS’s Suga teaming up for single to drop next week-1,IU and BTS’s Suga teaming up for single to drop next week-1,Hip-Hop Collaboration.,2020-04-29,Korea JoongAng Daily
Music,IU and BTS’s Suga teaming up for single to drop next week,"Singer IU and rapper Suga of BTS, two of the biggest names in K-pop, have joined forces for a song that’s going to drop next week, their agencies announced on Monday. “On May 6, we will release the digital single and the music video,” said EDAM En",K-Pop Hip Hop,2020-04-27,Korea JoongAng Daily
Music,IU ends her 2019 tour in Jakarta,"Singer IU has wrapped up her 2019 tour after meeting nearly 90,000 fans over the course of two months in 10 cities across Asia. IU kicked off her “Love, Poem” tour on Nov. 2 in Gwangju, followed by performances in three other Korean cities - Inch",K-Pop Ballad,2019-12-31,Korea JoongAng Daily
Social,Celebs make Christmas donations,"Celebrities celebrated Christmas by spreading yuletide spirit through making donations and volunteering across Korea. Kicking things off was singer IU, pictured, who donated 100 million won ($86,000) to ChildFund Korea on Monday to help children",Charity Donation,2019-12-25,Korea JoongAng Daily
Promotion,IU postpones album release date,"Singer IU is postponing the release of her upcoming album, the singer said on her official fan site on Sunday. “I have pushed back the release date of my new album, ‘Love Poem,’ which was due to come out on Nov. 1,” wrote IU. “Love Poem” is",Postponement announcement.,2019-10-21,Korea JoongAng Daily
Social,"Welcome to ‘Hotel Del Luna,’ have a spooky stay","The news that big name stars Lee Ji-eun, also known as singer IU, and Yeo Jin-goo, had been cast as the stars in the upcoming tvN drama series “Hotel Del Luna” caused quite a stir when it was announced earlier this year. People were instantly curious",K-Pop Star,2019-07-08,Korea JoongAng Daily
Social,IU shows her many sides on Netflix’s ‘Persona’,"Lee Ji-eun, better known by her stage name IU, is not the only reason one should watch the upcoming Netflix original series “Persona.” The series features four different sides of Lee in four short films, all directed by four acclaimed directors. The",Netflix Original Series,2019-03-27,Korea JoongAng Daily
Music,"IU, Yeo Jin-goo cast in tvN drama","Singer-actor Lee Ji-eun, better known as IU, and actor Yeo Jin-goo have been cast as the lead characters in tvN’s upcoming series “Hotel del Luna.” According to the cable network, the series will revolve around a special, mysterious hotel that is",K-Pop Ballad.,2019-03-06,Korea JoongAng Daily
Promotion,Entertainment agencies to merge,"Girl group Apink’s agency Plan A Entertainment will be merging with FAVE Entertainment, home to singer IU and boy band History. Both agencies are subsidiaries of entertainment company Kakao M. According to Kakao M Wednesday, the two agencies decid",Endorsements,2019-02-13,Korea JoongAng Daily
Music,IU’s ‘Palette’ hits 100 million views,"Singer IU’s music video for “Palette” (2017) exceeded 100 million views on Sunday afternoon, her agency Kakao M announced on Monday. According to the agency, the music video hit the milestone around 3 p.m. on Sunday, becoming the first video of th",Music Video.,2018-12-17,Korea JoongAng Daily
Music,Kim Dong-ryul to drop song Friday,"Singer-songwriter Kim Dong-ryul will be releasing a new song featuring IU on Friday evening, his agency Musicfarm announced on Wednesday. According to the agency, his new single “Fairytale” will be a calming harmony of Kim and IU’s vocals over bea",Indie Ballad,2018-12-05,Korea JoongAng Daily
Music,IU to release surprise single in Oct.,"Singer-actress IU will release a new single this month in celebration of the 10th anniversary of her debut, her management agency said Monday. The single, “BBI BBI,” set for an Oct. 10 release, will be IU’s first music since her remake album “A",Remake Album,2018-10-01,Korea JoongAng Daily
Music,IU to celebrate ten years with a world tour,"Singer and actor IU will embark on an international concert tour to celebrate 10 years as a recording artist, her agency Kakao M announced on Tuesday. The tour will start on Oct. 28 in Busan. She will then head to Seoul to perform on Nov. 17 and",Concert Tour,2018-09-18,Korea JoongAng Daily
Social,IU will celebrate 10 years with a fan meeting,"Singer and actor IU, will be holding a fan meeting on Sept. 15 to celebrate the 10 year anniversary of her debut with fans, announced Kakao M (formerly LOEN Entertainment) on Thursday. “‘IU+’ is a special fan meeting IU is planning. She hopes to",Exclusive,2018-08-30,Korea JoongAng Daily
Music,Zico’s ‘SoulMate’ tops music charts,"Rapper Zico’s single “SoulMate,” featuring singer IU, which was released on Monday, held the No. 1 spot in eight major local music charts through Tuesday. “SoulMate” is an R&B track that was written, composed and produced by Zico himself, and knoc",R&B ballad.,2018-07-31,Korea JoongAng Daily
Promotion,IU renews contract with Kakao M,"Singer and actor Lee Ji-eun, widely known by her stage name IU, renewed her contract with agency Kakao M, formerly LOEN Entertainment, according to the agency on Wednesday. “IU recently renewed her contract with us,” said a source from Kakao M. Th",Contract Renewal,2018-07-18,Korea JoongAng Daily
Music,‘My Mister’ wraps with top ratings,"”My Mister,” a television series about an unlikely friendship between a 20-something woman and her colleague in his 40s, has topped the weekly TV chart, data showed Tuesday. Starring singer-actor Lee Ji-eun, better known by her stage name IU, and",IU's Solo Songs,2018-05-29,Korea JoongAng Daily
Music,"BTS and IU cap off ‘unbelievable’ year: Exo, Wanna One and more were big winners at the 32nd Golden Disc Awards",The grand prizes of the two-day Golden Disc Awards went to solo singer IU for her song “Through the Night” and boy band BTS for their album “Love Yourself: Her.” A day after BTS took home a prize in the digital song category on the first day of th,K-Pop Ballad,2018-01-12,Korea JoongAng Daily
Promotion,"[VIDEO NEWS] The singer IU expresses her condolences for Kim Jong-hyun, a member of boy band SHINee who recently passed away","1) [Singing her song “Through the Night”] 2) IU (singer): “Can I say more? To be honest, I’m still very sad [about Jong-hyun’s death]. As a human being, as a friend and as a musician, I’ve loved and respected him so much. I can somewhat sympathize",Music Tribute,2018-01-11,Korea JoongAng Daily
Music,IU is the nation’s singer of the year,"Singer IU has been selected singer of the year in an annual poll released on Wednesday. Gallup Korea polled 4,200 people across the country between the ages of 13 and 59 three times this year - in July, September and November. The singer relea",K-Pop/Pop,2017-12-20,Korea JoongAng Daily
Music,Singer’s unexpected return to the top : IU’s cover of ‘Autumn Morning’ has songwriter Lee Byeong-woo smiling,"Singer IU’s latest album “Kkot-Galpi #2” was released on Sept. 22, and her charming vocals are yet again delighting the eardrums of her fans. Older fans have been drawn to this particular album, as it features covers of songs that were popular years",K-Pop Ballad,2017-10-13,Korea JoongAng Daily
Music,IU releases first track off of remake album,"Singer-actress IU prereleased a new song titled “Autumn Morning” that will be part of an upcoming remake album, her agency said Monday. “Autumn Morning” is a remake of Korean folk icon Yang Hee-eun’s 1991 song of the same name, according to Fave E",Korean Folk Pop,2017-09-18,Korea JoongAng Daily
Music,IU returning with new music in September,"Singer IU will make a comeback in mid-September, her agency announced this Friday. Fave Entertainment has not released details on the specific dates, but has confirmed that her newest release will be a remake of her 2014 EP, “A Flower Bookmark.”",New Music Release.,2017-09-01,Korea JoongAng Daily
Music,Psy and IU to hold free shows at mud festival,"Leading K-pop stars Psy and IU plan to hold free concerts at this year’s Boryeong Mud Festival. Psy will hold a concert July 25 at Daecheon Beach, the venue for the mud festival, celebrating its 20th year, according to Boryeong City. This year’s f",K-Pop,2017-06-29,Korea JoongAng Daily
Music,Boy groups release summer songs,"As a short-lived spring comes to a close with temperatures approaching 30 degrees Celsius (86 degrees Fahrenheit), boy groups are gearing up to release summer anthems before June. Boy Group SF9 will continue to push their song “Watch Out” from th",K-Pop Rap,2017-05-23,Korea JoongAng Daily
Music,Roy Kim finds his new pop sound : The singer-songwriter turned to producers to help write latest songs,"Artists who have turned 24 this year have been going strong on the music charts. IU’s album “Palette” touches on the artist going through the motions as a 24-year-old. Indie band Hyukoh, consisting of four members born in 1993, released their album “",Music Industry Gossip.,2017-05-17,Korea JoongAng Daily
Music,IU says she’s confident in new album ‘Palette’,K-pop singer-songwriter IU on Friday expressed confidence in her new album “Palette” and thanked fans for pushing her pre-released song to No. 1 on music charts despite zero promotional activities. “I had no idea that the pre-released song would b,Ballad Pop.,2017-04-23,Korea JoongAng Daily
Controversy,IU to sue man who compared her to a dog,"Singer-actress IU plans to sue a man who has made derogatory and suggestive comments toward the star on YouTube videos, her agency said Wednesday. Fave Entertainment said in a statement that the YouTube user, referred to as “A” by the company, “ha",Derogatory comments,2017-04-12,Korea JoongAng Daily
Music,Music industry chases after IU for top spot,"Everyone in the music industry currently has one goal in mind - catch the chart killer. Since singer IU’s first single off her fourth album, “Through the Night” hit the charts, it has stayed in the number one spot. IU is attempting to strengthen h",K-Pop Pop,2017-04-03,Korea JoongAng Daily
Music,IU announces upcoming album and single,"Artists who have announced their returns to music this spring season will need to look out, as a well-known “chart killer” is slated to release a new single in the coming weeks. While a host of artists are making comebacks in the spring, no other art","Based on the content of the article, I would categorize it as:

Music (songs, albums, concerts, music shows) with a subcategory of: Music News/Announcements.

The specific details mentioned in the article include:

* Upcoming album release
* Upcoming single release
* IU's music career

These details indicate that the article is primarily focused on announcements related to IU's music.",2017-03-10,Korea JoongAng Daily
Controversy,"IU and Chang Ki-ha break up, remain friends","Another celebrity couple has parted ways as singers IU and Chang Ki-ha have decided to break up. According to Jang’s agency DuruduruAMC, the two stars called it quits one week ago, deciding to remain good friends instead. IU’s agency Loen Entertai",Amicable Breakup,2017-01-23,Korea JoongAng Daily
Music,IU films guest spot on ‘Flower Crew’,"Singer-actress IU will appear as a guest in an upcoming episode of the SBS variety show “Flower Crew.” According to a source, the singer joined the cast of the show on Tuesday for filming. The show, which combines elements of online voting and t",K-Pop Pop,2016-11-15,Korea JoongAng Daily
Music,IU to hold two-day year end concert,"Singer and actress IU will greet fans with her music on Dec. 3 with a two day end-of-year concert. According to the singer’s agency Fave Entertainment on Thursday, the concert will be held at the SK Olympic Handball Gymnasium located in Songpa Dis",Concert Event,2016-11-03,Korea JoongAng Daily
Music,New single by Hyungdon & Daejun,"Comedy hip-hop duo Hyungdon & Daejun will drop a new single, “Decision,” featuring singer IU on Thursday. Rapper Defconn, part of the duo, uploaded a teaser image to his Instagram account on Tuesday. He will reunite with his comedian partner Jun",Comedy Hip-Hop,2016-09-20,Korea JoongAng Daily
Acting,Singer Seohyun nabs role in drama series,"Seohyun, a member of the K-pop group Girls’ Generation, will join actor Lee Joon-gi and singer-actor IU in the upcoming drama series “Moon Lovers.” A person working at the drama department of a major broadcaster told Ilgan Sports, an affiliate of",Drama television.,2016-01-06,Korea JoongAng Daily
Acting,IU to star in ‘Moon Lovers’ Korean remake,Singer IU will pair up with actor Lee Joon-gi in an upcoming drama series. The production company for “Moon Lovers” confirmed the casting of IU on Monday. Lee had finalized his appearance in the series in November. The drama was first produ,TV Drama Casting,2016-01-04,Korea JoongAng Daily
Promotion,IU chooses to lie low for now,"Singer-songwriter IU will not participate in any year-end music festivals, mainly because of her nationwide concert tour schedule. Recently, the singer did not participate in the 2015 Melon Music Awards, organized by online music portal Melon.",Interview.,2015-11-20,Korea JoongAng Daily
Controversy,Publisher backs down in IU debate,"The controversy over singer-songwriter IU’s reinterpretation of a five-year-old fictional boy in sexual ways seems to have come to an end as a local publisher, which started the discussion, uploaded an apology onto its official Facebook page on Tuesd",Sexualization controversy.,2015-11-11,Korea JoongAng Daily
Controversy,"Controversy surrounds IU, again","Singer-songwriter IU once again came under fire for reinterpreting Zezé, a five-year-old protagonist of the novel “My Sweet Orange Tree,” in sexual ways for one of the tracks from her recent album “Chat-Shire.” The controversy first began",Misogynistic reinterpretation.,2015-11-06,Korea JoongAng Daily
Controversy,IU criticized for sampling Britney Spears song,Singer-songwriter IU has come under fire for sampling the Britney Spears song “Gimme More” without permission from the pop star and her agency. The scandal started with a Korean fan of Spears. The fan uploaded a post to the web on Tuesday saying,Unauthorized sampling,2015-11-04,Korea JoongAng Daily
Social,Awards to honor top cultural icons,"Actress Jun Ji-hyun (pictured) of the hit film “Assassination” and singer-songwriter Lee Moon-sae will be honored by the president, while actress Park Shin-hye, actor Lee Jong-suk, singer IU and singer Kim Jong-kook will be honored by the prime min",Media Awards,2015-10-27,Korea JoongAng Daily
Controversy,Fans question Sulli’s loyalty to f(x),"Sulli, a former member of the girl group f(x), backtracked Saturday after uploading a post promoting her singer friend IU rather than of her old band mates. The 21-year-old musician uploaded a post onto her Instagram account early Saturday in whi",Backtracking Betrayal,2015-10-25,Korea JoongAng Daily
Music,IU’s new track sweeps online music charts,"Singer-songwriter IU has swept all the online music charts with her new song, “Twenty-Three.” The track was unveiled to the public at midnight on Friday and instantly flew to No. 1. Other tracks from her newest mini album also ranked in the top 10 m",K-Pop Ballad,2015-10-23,Korea JoongAng Daily
Controversy,IU planning to avoid TV music programs,"Versatile singer-songwriter IU will release her fourth mini album, “Chat-Shire,” on Oct. 23, but it will be difficult to spot her on TV music shows. Loen Tree Entertainment, the singer-actress’s agency, told Xsports News, an online entertainment",Avoiding Music Shows,2015-10-19,Korea JoongAng Daily
Music,IU to release a mini-album,"Singer-songwriter IU will release a new mini-album on Oct. 23. The 22-year-old singer uploaded an image of the new album cover to her Facebook feed on Monday. Loen Tree Entertainment, which represents the singer, said the new mini-album is",Music Album Release,2015-10-12,Korea JoongAng Daily
Social,"IU, indie frontman reported to be item","An iconic indie musician has stolen the heart of top singer-songwriter IU. According to an exclusive report on Thursday by local online entertainment news service Dispatch, IU, 22, and Chang Ki-ha, 33, the frontman of the indie band Chang Kiha",Romantic Relationship.,2015-10-08,Korea JoongAng Daily
Music,IU planning to release a new album,"Soloist IU is planning a comeback this fall. The 22-year-old is currently working on a new album, according to various media outlets on Monday. Even though the specific date of the record’s release has not yet been determined, she is said to be","""New Album Release""

The specific type of this article falls under the category of ""Music (albums)"" since it is about IU planning to release a new album.",2015-09-21,Korea JoongAng Daily
Music,Music groups captivate with 2-part videos,"Since the most recent installment of the biennial music festival of “Infinite Challenge” last month, the K-pop songs unveiled on the show have been dominating Korean music charts.
Various tracks, such as “Leon” by singer IU and entertainer Park",K-Pop,2015-09-20,Korea JoongAng Daily
Music,‘Producers’ cast visits China,"Actors Kim Soo-hyun, Gong Hyo-jin and IU attended a promotional event in China for their latest drama series “The Producers” (2015), along with directors Pyo Min-su and Seo Soo-min and screenwriter Park Ji-eun. Thousands of people gathered in Shan",Public Appearance Event,2015-08-30,Korea JoongAng Daily
Music,‘Challenge’ fest sees new acts,"A number of renowned musicians, including G-Dragon, Taeyang and IU, have been confirmed to take part in a festival organized by MBC’s flagship program “Infinite Challenge.” The shoot for the festival, one of the biggest events hosted by the variety",K-Pop,2015-06-26,Korea JoongAng Daily
Social,Fans establish forest for IU,"Fans of IU finished creating a forest in Yeouido for the soloist just in time to celebrate her 22nd birthday, which fell on Saturday. The forest, which started being planted in January, is one of a string of environment-friendly projects fans of",Fan-led initiative.,2015-05-17,Korea JoongAng Daily
Music,Lee Seung-chul records drama track,"Veteran singer Lee Seung-chul has been selected to sing the background music for the new KBS 2TV drama “The Producers,” in which famous celebrities such as Kim Soo-hyun, Gong Hyo-jin and IU will appear. Lee’s new song, “Darling,” will be unveiled",Drama Original Song,2015-05-13,Korea JoongAng Daily
Music,IU to sing show’s theme tune,"Soloist IU will sing the theme song for the new reality TV show “Take Care of My Father.” According to industry insiders, IU already finished recording the track last week for the program in which celebrity fathers in their 50s and 60s are filmed",K-Pop Ballad.,2015-03-15,Korea JoongAng Daily
Acting,IU lands lead in ‘Producers’ drama,"Soloist IU is returning with a new drama series rather than an album, according to an exclusive report by Ilgan Sports, an affiliate of the Korea JoongAng Daily. The sports daily reported Tuesday that the 22-year-old singer has landed a lead role",TV Appearances,2015-03-02,Korea JoongAng Daily
Promotion,New release rumored this year for IU,"Soloist IU is likely to release another album in April, according to Joy News 24, a local online news agency. The new record will be the singer’s first original work in 18 months since she released “Modern Times” in 2013. IU released a covers a",Exclusive Interview,2015-02-04,Korea JoongAng Daily
Music,IU and Hyuna nominated for awards,"Prior to the 2015 Golden Disc Awards, which will be held in Beijing this month, Ilgan Sports, an affiliate of the Korea JoongAng Daily, will introduce the K-pop groups that have been nominated for grand prizes. In the sea of new releases, singer-s",K-Pop,2015-01-05,Korea JoongAng Daily
Music,IU tops poll for singer of the year,"Soloist IU was chosen as singer of the year in a survey conducted by Gallup Korea. The research company said on Thursday that it surveyed 2,774 people in October and November aged over 14 across the nation, except on Jeju Island. The 21-year-ol",K-Pop,2014-12-18,Korea JoongAng Daily
Music,IU posts new song ‘Knee’,"Singer IU uploaded a song of her own titled “Knee” onto her Twitter account Thursday morning with a short message that read “I’m happy. Thank you for everything. This is for you.” In the attached voice file, IU plays the guitar and sings a song a",Ballad/ Acoustic,2014-12-05,Korea JoongAng Daily
Promotion,Korea’s finest ­,"Police officers applaud a performance of singer IU before a commemoration ceremony for the 69th Police Day, which was celebrated yesterday at the Sejong Center for the Performing Arts in central Seoul. Commissioner General of the National Police Age","Celebrity Endorsement.

(IU is a celebrity, and the article is featuring her in a positive light by mentioning her performance at a commemoration ceremony.)",2014-10-22,Korea JoongAng Daily
Music,2014.8.20 TICKET,"MUSIC

VIBE & IU: SOMEDAY IN AUGUST
Yonsei University Outdoor Theater
Saturday and Sunday: Can summer nights get any sweeter? “Someday,” a concert series that has staged collaborations of Korea’s best live performers since",Pop Ballad,2014-08-19,Korea JoongAng Daily
Promotion,IU to front celebrity karaoke pilot,"Pop star IU will stand behind a microphone over the Chuseok holidays, but not to sing. The singer has been chosen to host an entertainment show on broadcasting channel KBS during the early September holiday. The show will be a pilot episode b",Interview Appearance,2014-08-13,Korea JoongAng Daily
Music,K-pop in California,South Korean singer and actress IU arrives at the third annual KCON K-pop convention at Los Angeles Memorial Sports Arena in Los Angeles on Sunday. KCON is a two-day K-pop festival of concerts and workshops.[REUTERS/NEWS1],K-Pop Concerts,2014-08-11,Korea JoongAng Daily
Music,G.O.D reunites for concert,"Korean singers IU and Roy Kim were spotted visiting G.o.d’s 15th anniversary solo concert among the 14,000 fans gathered at Jamsil Sports Complex on Saturday, according to local media. It was K-pop pioneer G.o.d’s reunion as an integrated group o",K-Pop Concert,2014-07-13,Korea JoongAng Daily
Music,Intimate concert for young vocalist,"Shortly after dominating the local music charts with a newly released tribute album “A Flower Bookmark,” singer IU proved her presence as a musician in her small-theater concert “Just a step closer… Just That Much,” last weekend. Held in Sogang Un",Concert Event,2014-05-26,Korea JoongAng Daily
Music,2014.5.21 TICKET,"MUSIC

IU’S SMALL THEATER CONCERT
Mary Hall at Sogang University
Tomorrow to June 1: After dominating Korean music outlets with her cover album “Flower Bookmark,” IU is holding a solo concert that will differ from her previ",K-Pop Ballad.,2014-05-20,Korea JoongAng Daily
Music,IU dominating music charts,"Singer IU’s remake album “Flower Bookmark,” released Friday, has taken over Korean airwaves, with most of its tracks dominating the online music charts. As of noon yesterday, the lead single “My Old Story,” originally sung by veteran singer Jo",K-Pop Ballad,2014-05-18,Korea JoongAng Daily
Music,IU pushes ahead with duet CD,"Singer IU, whose real name is Lee Ji-eun, has just finished recording a duet with singer-actor Kim Chang-wan for her up-and-coming tribute album, according to local reports yesterday. “IU sang a duet with Kim recently. We did a remake of the song",K-Pop Ballad,2014-05-08,Korea JoongAng Daily
Music,IU set to release classic tribute album,"Singer IU will release a tribute album for the first time in May, in which she will cover classic pop songs in her own style. She is also slated to hold a small concert after the album’s release. “We are planning on coming up with a new style of p",Cover Songs,2014-04-10,Korea JoongAng Daily
Promotion,Loen acquires large stake in Starship,"Loen Entertainment, the management home of singer IU, said Wednesday that it bought a 70 percent stake in Starship Entertainment for 15 billion won ($14.2 million). Starship is the agency of many idols, including Sistar and Boyfriend. “Since S",Strategic Investment,2013-12-19,Korea JoongAng Daily
Music,IU album spotlights ‘Modern Times’,"Singer IU is releasing a repackage album, according to her agency, Loen Tree. The new album is titled “Modern Times - Epilogue” and will be released on Friday. It includes two new songs and a DVD with recordings of the live performance of her seco",K-Pop ballad,2013-12-15,Korea JoongAng Daily
Music,2013.11.20 Ticket,"MUSIC IU Kyung Hee University, Grand Peace Palace Saturday and Sunday: With the success of her third full-length album, “Modern Times,” Korea’s so-called “little sister” IU will present her second solo concert. The work of the singer, wh",K-Pop Pop,2013-11-19,Korea JoongAng Daily
Promotion,IU: I didn’t eat for awhile,"Singer IU said on the KBS entertainment show “Happy Together3” on Thursday that she didn’t eat any food while she was trying to lose weight to look better on camera. “When I was doing it hard core, I did not eat but worked out,” she said. “I even","I would categorize this article as a ""Celebrity Interview"" or a ""Behind-the-Scenes"".

The specific details that support this classification are:

* IU is mentioned as a singer, indicating a focus on her public persona.
* The context of the interview is related to her appearance and weight loss efforts, which suggests a personal or humanizing aspect.
* The article provides quotes from IU, giving insight into her thoughts and feelings about her weight loss journey.

These details suggest that the article is more focused on showcasing IU as a person and sharing her story, rather than promoting her music or other products.",2013-11-01,Korea JoongAng Daily
Music,IU could be joining ‘Hidden Singer’,"Singer IU will take part in the entertainment show “Hidden Singer 2” on cable channel JTBC. She will be the youngest singer on the show, which features a professional singer squaring off against talented amateurs from behind a screen. The audienc",K-Pop/Indie,2013-10-30,Korea JoongAng Daily
Controversy,IU’s agency denies plagiarism charges,"Singer IU has found herself caught up in a plagiarism controversy after her song “Pink Shoes” was accused of being too similar to Nekta’s 2009 song “Here’s Us.” But IU’s agency, Loen Entertainment, strongly denied the accusation yesterday, issuing",Placation Denial,2013-10-27,Korea JoongAng Daily
Social,Secret’s out: IU reveals short hairstyle on radio program,"Singer IU has cut her hair short after keeping it long for about three years. She showed off her new hairstyle for the first time to fans on the radio program “Jang Ki-ha’s Great Radio” on SBS yesterday, which streamed live video of the show from",Radio Appearance.,2013-10-24,Korea JoongAng Daily
Promotion,IU chooses a pretty man,"Singer IU, who is in the middle of promoting her new album “Modern Times,” has been cast in a new drama. Wasting little time since her acting debut on the KBS drama “You’re the Best, Lee Soon-shin,” which ended in August, IU will play the lead in",Television Drama,2013-10-22,Korea JoongAng Daily
Promotion,Skin clinics claim shots of vitamins are panacea,"Beauty-conscious Korea has turned its hopeful eyes toward a new cosmetic strategy: vitamin injections. The main claim for the injections is that they lighten skin, and celebrities like Beyonce and Korean singer IU are frequently featured on poste",Celebrity Endorsement,2013-10-15,Korea JoongAng Daily
Music,IU announces solo concerts,"Singer IU has announced several solo concerts coming up soon to help promote “Modern Times,” her new album released last week. She will start Nov. 23 at Kyung Hee University with two shows in two nights before moving down to the southern port city",K-Pop Ballad,2013-10-15,Korea JoongAng Daily
Music,IU releases first album in 17 months,"Singer IU released her new song “Pink Shoes” just after midnight this morning - the leadoff single from her third full-length album, “Modern Times.” Along with the single, IU released the entire 13-song album, her first record in Korea in nearly",K-Pop/Pop,2013-10-07,Korea JoongAng Daily
Controversy,Mystery man apologizes to IU,"Someone online posted a letter of apology Thursday to the singer IU, claiming he was the one who started the recent rumors that the young star was pregnant and about to get married. Just minutes later, the apology was taken down, but not before becom",False Pregnancy Rumors,2013-09-27,Korea JoongAng Daily
Controversy,Never spread IU rumors,"Singer IU is neither pregnant nor getting married - and now the man who started rumors to the contrary has been caught. “The perpetrator was caught by the prosecutors’ office and he confessed,” said music producer Jo Young-cheol, from the singer’",Spurious Rumor Spread,2013-09-24,Korea JoongAng Daily
Music,IU releases teaser video,"Two weeks before the release of her new album, “Modern Times,” singer IU has revealed the names of the songs on her record and released a teaser video. On the YouTube channel for her agency, Loen Entertainment, she released a one-minute teaser for",K-Pop/Pop,2013-09-23,Korea JoongAng Daily
Promotion,IU teases comeback,"Teaser images of IU were released to the public on Sept. 17 prior to the singer’s comeback, which is scheduled for Oct. 7. The 20-year-old highly-versatile performer, who just finished shooting the drama series “You’re the Best, Lee Soon-shin,” w",Promotional Teaser,2013-09-17,Korea JoongAng Daily
Promotion,IU readies Korean album,"After a year of concentrating on acting in Korea and singing in Japan, performer IU is at last slated to release new music in Korea, according to local media reports. IU had been playing the lead role in the KBS drama “You’re the Best Lee Soon-shi","""Music Promotion Update""",2013-09-10,Korea JoongAng Daily
Music,IU thanks fans with special single,"Singer IU has released a song she wrote to mark the end of her first acting experience. With last weekend’s closure of the 50-episode drama “You’re the Best, Lee Soon-shin,” in which IU played the leading role of wannabe actress Lee Soon-shin, IU",Single Release,2013-08-26,Korea JoongAng Daily
Acting,Uee considers drama lead,"Another K-pop star is looking to make the jump into acting via the small screen after singer IU made a splash with her acting debut in the KBS weekend drama “You’re the Best, Lee Soon-shin.” Uee, of the popular girl group After School, appears to",TV Casting News.,2013-08-22,Korea JoongAng Daily
Music,IU to make singing comeback,"Singer IU, who has recently been foregoing singing for acting with her role on the KBS drama “You’re the Best, Lee Soon-shin,” is heading back into the recording studio. According to IU’s management company, Loen Entertainment, the singer could re",K-Pop,2013-08-14,Korea JoongAng Daily
Controversy,Celebs spied on movie date,"Singer IU and actor Lee Hyun-woo, of the KBS drama “Master of Study,” were seen together at a movie theater in Sinsa-dong, southern Seoul, late at night on Thursday. And this being the smartphone age, photos of the two celebrities were posted to",Celebrity Spying,2013-08-09,Korea JoongAng Daily
Controversy,IU apologizes for infamous tweet,"Singer IU is apologizing for the controversial photo she tweeted last November - while continuing to avoid discussing what the photo actually was about. While on the SBS talk show “Hwashin - Controller of the Heart” on Tuesday, IU took responsibil",Photo Scandal.,2013-07-24,Korea JoongAng Daily
Controversy,IU’s agency fights back against rumor,"Singer IU’s agency has said that it will ask police for an investigation into who first spread stories about IU’s rumored marriage with a member of a local boy band. On Monday, IU was said to be preparing for an October wedding with a member of bo",Rumor Spreading Controversy,2013-05-28,Korea JoongAng Daily
Controversy,Seo In-young: I play well with others,"Seo In-young denied rumors that she had uncomfortable relationships with other female celebrities. Earlier, it was rumored that she disciplined singer IU in a bathroom and even hit her. “I never called her to the bathroom, and I swear I never dra",False Celebrity,2013-05-24,Korea JoongAng Daily
Acting,IU to star in leading role in upcoming drama,"Singer and actress IU is set to appear on the upcoming weekend drama “The Best Lee Soon Shin,” which will be aired starting March 9 after the hit drama ""My Daughter Seoyoung” wraps up. The highly anticipated drama revolves around a girl who is nei",TV Drama,2013-03-05,Korea JoongAng Daily
Music,IU is ready to take Japan by storm,"IU will release a mini album in Japan on March 20, according to her agency, the first time she has done so there. The star hopes to build on her success in the country after she released Japanese versions of two singles, “Good Day” and “You & I",K-Pop,2013-02-12,Korea JoongAng Daily
Music,"[NEW RELEASES] YUI, “Orange Garden Pop” and “Green Garden Pop”","Japanese pop artist Yui, who gets compared to Korea’s singer-songwriter IU, released her first and probably last “best of” album in two CDs: “Orange Garden Pop” and “Green Garden Pop.” The 26-year-old Japanese singer and songwriter announced that she",Promotional piece.,2013-01-27,Korea JoongAng Daily
Controversy,Eunhyuk makes fun of the IU scandal,"Never the one to miss out on a joke, Super Junior’s Eunhyuk made everyone laugh by mentioning the IU scandal while on SBS’ “Might Heart” on Jan. 15. On the hit talk show that back in 2009 Eunkyuk e was about “235th” on portal Web site search ranking","Lighthearted Teasing.

This article is categorized under lighthearted teasing because it discusses Eunhyuk making a joke about the IU scandal, which was mentioned in a 2009 interview. The tone of the article suggests that the article is poking fun at the controversy rather than exploring any serious issues or disputes.",2013-01-17,Korea JoongAng Daily
